"Date","Price","Open","High","Low","Vol.","Change %"
"07/11/2022","61,008.16","62,107.37","62,107.37","60,368.77","62.78M","-1.77%"
"07/08/2022","62,107.37","61,771.44","62,279.83","60,895.71","120.34M","0.54%"
"07/07/2022","61,771.44","59,702.98","61,828.91","59,702.98","107.99M","3.46%"
"07/06/2022","59,702.98","58,952.59","60,190.16","58,952.59","104.47M","1.27%"
"07/05/2022","58,952.59","60,901.62","61,000.05","58,616.91","113.66M","-3.20%"
"07/04/2022","60,901.62","59,640.36","61,311.59","59,613.82","78.02M","2.11%"
"07/01/2022","59,640.36","60,109.04","60,559.96","59,344.91","112.06M","-0.78%"
"06/30/2022","60,109.04","61,553.81","61,553.81","60,102.24","151.68M","-2.35%"
"06/29/2022","61,553.81","61,789.23","61,800.00","60,943.76","109.22M","-0.38%"
"06/28/2022","61,789.23","61,524.81","62,359.34","61,524.81","108.45M","0.43%"
"06/27/2022","61,524.81","59,992.87","62,070.50","59,992.87","109.91M","2.55%"
"06/24/2022","59,992.87","59,018.91","60,023.53","58,834.89","119.17M","1.65%"
"06/23/2022","59,018.91","59,414.81","59,516.66","58,488.66","101.04M","-0.67%"
"06/22/2022","59,414.81","60,374.38","60,374.38","58,847.54","102.04M","-1.59%"
"06/21/2022","60,374.38","60,073.83","61,149.30","60,051.10","127.84M","0.50%"
"06/20/2022","60,073.83","59,082.87","60,389.57","59,078.51","96.55M","1.68%"
"06/17/2022","59,082.87","61,163.02","61,163.02","59,057.87","248.13M","-3.40%"
"06/15/2022","61,163.02","59,436.50","61,214.80","58,984.42","333.96M","2.90%"
"06/14/2022","59,436.50","60,074.62","60,669.91","59,315.90","161.90M","-1.06%"
"06/13/2022","60,074.62","61,348.19","61,400.04","59,638.89","147.73M","-2.08%"
"06/10/2022","61,348.19","62,427.08","62,548.43","61,227.59","165.25M","-1.73%"
"06/09/2022","62,427.08","63,449.35","63,896.63","62,427.08","102.17M","-1.61%"
"06/08/2022","63,449.35","63,734.22","64,160.40","63,369.85","","-0.45%"
"06/07/2022","63,734.22","64,535.61","64,566.14","63,208.98","96.32M","-1.24%"
"06/06/2022","64,535.61","64,318.95","64,872.77","64,226.58","68.53M","0.34%"
"06/03/2022","64,318.95","64,427.33","65,126.93","64,301.51","69.42M","-0.17%"
"06/02/2022","64,427.33","64,237.10","64,760.16","64,217.94","103.60M","0.30%"
"06/01/2022","64,237.10","65,431.16","65,509.24","63,923.85","110.81M","-1.82%"
"05/31/2022","65,431.16","65,335.09","65,639.78","64,953.02","282.09M","0.15%"
"05/30/2022","65,335.09","63,882.81","65,460.19","63,882.81","114.20M","2.27%"
"05/27/2022","63,882.81","63,019.00","63,994.08","62,745.13","123.99M","1.37%"
"05/26/2022","63,019.00","61,176.02","63,121.42","61,156.80","124.43M","3.01%"
"05/25/2022","61,176.02","61,176.93","61,682.23","60,345.32","146.90M","0.00%"
"05/24/2022","61,176.93","61,787.53","61,787.53","60,978.03","95.66M","-0.99%"
"05/23/2022","61,787.53","60,999.46","62,215.00","60,999.46","104.11M","1.29%"
"05/20/2022","60,999.46","61,725.52","62,718.07","60,999.46","160.27M","-1.18%"
"05/19/2022","61,725.52","62,494.43","62,502.30","61,028.81","110.95M","-1.23%"
"05/18/2022","62,494.43","63,026.74","63,337.88","62,358.01","104.64M","-0.84%"
"05/17/2022","63,026.74","62,495.81","63,679.87","62,495.81","115.46M","0.85%"
"05/16/2022","62,495.81","61,991.97","62,582.73","61,722.43","88.91M","0.81%"
"05/13/2022","61,991.97","60,641.20","62,007.17","60,587.94","","2.23%"
"05/12/2022","60,641.20","61,786.27","61,786.27","59,396.94","164.91M","-1.85%"
"05/11/2022","61,786.27","60,359.40","61,876.75","60,230.61","130.02M","2.36%"
"05/10/2022","60,359.40","60,161.02","61,103.01","60,154.30","173.37M","0.33%"
"05/09/2022","60,161.02","61,290.10","61,352.93","59,863.94","123.50M","-1.84%"
"05/06/2022","61,290.10","62,902.26","62,902.26","60,555.41","138.10M","-2.56%"
"05/05/2022","62,902.26","63,573.87","64,353.17","62,902.26","","-1.06%"
"05/04/2022","63,573.87","64,401.30","64,440.64","63,293.40","111.21M","-1.28%"
"05/03/2022","64,401.30","65,475.55","65,568.78","64,351.42","117.55M","-1.64%"
"04/29/2022","65,475.55","64,551.99","66,128.11","64,551.99","146.58M","1.43%"
"04/28/2022","64,551.99","63,336.92","64,651.24","63,310.31","105.74M","1.92%"
"04/26/2022","63,336.92","62,895.89","64,058.03","62,895.89","105.84M","0.70%"
"04/25/2022","62,895.89","65,385.48","65,403.54","62,864.14","166.87M","-3.81%"
"04/22/2022","65,385.48","66,417.55","66,417.55","65,354.26","106.68M","-1.55%"
"04/21/2022","66,417.55","66,765.06","66,945.26","66,143.43","","-0.52%"
"04/20/2022","66,765.06","66,867.43","67,138.19","66,448.48","119.92M","-0.15%"
"04/19/2022","66,867.43","66,481.94","67,110.37","66,481.94","109.56M","0.58%"
"04/14/2022","66,481.94","66,200.31","66,857.64","66,200.31","91.57M","0.43%"
"04/13/2022","66,200.31","66,780.07","66,961.01","65,980.58","113.57M","-0.87%"
"04/12/2022","66,780.07","67,405.96","67,584.28","66,455.86","111.14M","-0.93%"
"04/11/2022","67,405.96","67,747.07","67,805.59","67,091.77","119.84M","-0.50%"
"04/08/2022","67,747.07","67,003.12","67,901.41","67,003.12","125.82M","1.11%"
"04/07/2022","67,003.12","67,308.61","67,411.97","66,782.28","102.18M","-0.45%"
"04/06/2022","67,308.61","68,343.65","68,415.52","66,976.23","127.25M","-1.51%"
"04/05/2022","68,343.65","68,940.52","68,940.52","68,133.57","133.67M","-0.87%"
"04/04/2022","68,940.52","68,934.93","69,379.77","68,905.46","92.36M","0.01%"
"04/01/2022","68,934.93","68,507.85","69,006.12","67,770.76","109.82M","0.62%"
"03/31/2022","68,507.85","68,529.72","68,656.79","67,836.16","115.36M","-0.03%"
"03/30/2022","68,529.72","67,911.15","68,529.72","67,697.09","107.68M","0.91%"
"03/29/2022","67,911.15","67,436.21","68,194.63","67,436.21","137.09M","0.70%"
"03/28/2022","67,436.21","67,578.28","67,808.09","67,191.73","114.02M","-0.21%"
"03/25/2022","67,578.28","67,690.25","67,914.69","67,373.93","96.55M","-0.17%"
"03/24/2022","67,690.25","68,235.42","68,792.29","67,617.11","133.90M","-0.80%"
"03/23/2022","68,235.42","69,145.89","69,390.14","68,145.09","133.29M","-1.32%"
"03/22/2022","69,145.89","68,275.27","69,375.50","68,275.27","151.70M","1.28%"
"03/18/2022","68,275.27","67,570.25","68,384.62","67,570.25","","1.04%"
"03/17/2022","67,570.25","66,971.88","67,872.27","66,971.88","344.57M","0.89%"
"03/16/2022","66,971.88","64,292.26","66,971.88","64,292.26","196.83M","4.17%"
"03/15/2022","64,292.26","65,500.56","65,500.56","63,212.69","178.70M","-1.84%"
"03/14/2022","65,500.56","67,331.10","67,331.10","65,064.82","160.65M","-2.72%"
"03/11/2022","67,331.10","67,572.11","68,326.87","67,309.33","154.08M","-0.36%"
"03/10/2022","67,572.11","66,484.69","67,591.39","66,484.69","181.58M","1.64%"
"03/09/2022","66,484.69","66,302.29","67,184.31","66,183.82","178.45M","0.28%"
"03/08/2022","66,302.29","67,143.64","67,143.64","65,949.83","190.02M","-1.25%"
"03/07/2022","67,143.64","68,357.85","68,615.12","67,143.64","224.10M","-1.78%"
"03/04/2022","68,357.85","70,882.48","70,882.48","67,656.92","214.36M","-3.56%"
"03/03/2022","70,882.48","71,057.56","71,814.18","70,813.67","161.50M","-0.25%"
"03/02/2022","71,057.56","70,584.10","71,279.62","70,280.85","190.58M","0.67%"
"03/01/2022","70,584.10","69,624.29","70,773.74","69,500.82","168.04M","1.38%"
"02/28/2022","69,624.29","67,719.42","69,624.29","67,501.64","273.55M","2.81%"
"02/25/2022","67,719.42","67,235.99","67,750.57","66,882.76","114.36M","0.72%"
"02/24/2022","67,235.99","68,369.73","68,369.73","66,817.44","204.06M","-1.66%"
"02/23/2022","68,369.73","68,639.97","68,694.41","68,134.89","104.01M","-1.00%"
"02/22/2022","69,058.61","68,876.90","69,058.61","67,619.66","116.06M","0.26%"
"02/21/2022","68,876.90","69,650.10","70,014.40","68,764.76","77.95M","-1.11%"
"02/18/2022","69,650.10","69,406.88","69,738.60","69,200.02","100.46M","0.35%"
"02/17/2022","69,406.88","69,735.63","70,286.77","69,212.71","113.80M","-0.47%"
"02/16/2022","69,735.63","69,169.36","69,995.41","69,169.36","111.27M","0.82%"
"02/15/2022","69,169.36","69,130.81","69,760.50","69,071.30","142.58M","0.06%"
"02/14/2022","69,130.81","69,681.32","69,862.36","68,853.63","119.81M","-0.79%"
"02/11/2022","69,681.32","69,944.22","69,951.56","68,968.40","101.22M","-0.38%"
"02/10/2022","69,944.22","70,105.79","70,636.87","69,498.13","103.77M","-0.23%"
"02/09/2022","70,105.79","69,526.76","70,531.46","69,478.85","114.55M","0.83%"
"02/08/2022","69,526.76","69,197.64","70,049.93","69,146.60","112.17M","0.48%"
"02/07/2022","69,197.64","68,678.91","69,335.31","68,499.20","85.04M","0.76%"
"02/04/2022","68,678.91","68,461.21","68,961.86","68,224.84","82.83M","0.32%"
"02/03/2022","68,461.21","68,655.58","69,218.48","68,429.55","91.66M","-0.28%"
"02/02/2022","68,655.58","68,374.94","69,155.86","68,368.72","88.24M","0.41%"
"02/01/2022","68,374.94","67,820.89","68,726.22","67,800.17","100.51M","0.82%"
"01/31/2022","67,820.89","67,021.38","68,454.58","67,021.38","139.92M","1.19%"
"01/28/2022","67,021.38","67,070.04","67,665.18","66,431.78","83.26M","-0.07%"
"01/27/2022","67,070.04","67,363.61","67,363.61","65,817.03","94.86M","-0.44%"
"01/26/2022","67,363.61","65,869.53","67,420.50","65,869.53","113.50M","2.27%"
"01/25/2022","65,869.53","65,653.18","66,648.24","65,653.18","109.20M","0.33%"
"01/24/2022","65,653.18","68,186.16","68,186.16","65,653.18","113.38M","-3.71%"
"01/21/2022","68,186.16","69,586.74","69,592.75","67,968.93","82.95M","-2.01%"
"01/20/2022","69,586.74","69,512.97","70,135.24","69,070.09","102.12M","0.11%"
"01/19/2022","69,512.97","68,281.90","69,522.82","68,281.90","92.66M","1.80%"
"01/18/2022","68,281.90","68,889.24","68,889.24","67,927.20","94.74M","-0.88%"
"01/17/2022","68,889.24","68,448.15","68,907.66","68,409.01","77.66M","0.64%"
"01/14/2022","68,448.15","69,187.73","69,187.73","68,236.76","74.47M","-1.07%"
"01/13/2022","69,187.73","69,206.77","69,206.77","68,617.74","92.05M","-0.03%"
"01/12/2022","69,206.77","67,302.20","69,226.32","67,302.20","104.78M","2.83%"
"01/11/2022","67,302.20","67,114.14","67,802.02","67,098.32","98.18M","0.28%"
"01/10/2022","67,114.14","67,251.03","67,702.30","67,114.14","66.35M","-0.20%"
"01/07/2022","67,251.03","67,420.20","67,621.51","67,076.63","52.74M","-0.25%"
"01/06/2022","67,420.20","68,367.16","68,367.16","67,294.10","70.09M","-1.39%"
"01/05/2022","68,367.16","68,398.98","68,410.14","67,844.62","59.32M","-0.05%"
"01/04/2022","68,398.98","67,025.54","68,398.98","66,918.12","62.00M","2.05%"
"01/03/2022","67,025.54","67,052.40","67,612.28","66,988.57","42.55M","-0.04%"
"12/31/2021","67,052.40","67,129.53","67,263.14","66,758.87","22.27M","-0.11%"
"12/30/2021","67,129.53","66,613.94","67,187.51","66,598.12","49.98M","0.77%"
